Home,Road,line,linesag,linepz,lineARGH,linekam,lineavg,linewunder,linepig,linens,linecpa,lineexcel,linemore,linedunk,linecpar,linepyth,lineelo,lineeff,linetrexler,linel2,lineschmidt,linel1,linel2h,linefox,lineca,linebihl,linegrid,linesage,linesagp,linejfm,lineimes,lineopen,lineupset,lineself,linejohns,linemass,linecoff,lineesp,linereister,linetsr,linetsrslots,linelog,linestrength,linebenson,linemed,linekerns,linejens,lineash,linehollo,lineburd,linemrr,linedok,linetsrelo,linest,linecovers,lineherald,linewhatif,linewann,linegabe,linedwig,linejwilson,linegametime,linecover81,linecrunch,linensr,linelinx,linecombo,linegirl,linestd,linegrn,week,hscore,rscore
Kansas City,Pittsburgh,-10,-13.11,-7.04,-11,-15.14,-10.43285714,-10,-7,-7.04,-17.39,-9,-9.12,-11.35,-14.01,-8.26,-10.65,-3.86,-9,-14.81,-8.64,-14.49,-25.01,-12,-10,,-6.5,-14.8,-11.62,-8.74,,-9.5,-13,,-11.43,-9.57,-10.59,-9.8,-12,,-11,-12.95,-12.24,-15.3,-11,-19.3,-13.3,-9,-10.36,-13,-4.19,-7.65,-7,-10.5,-11,,-10,-15.56,-11,-12.5,-11,-6,-11.6,-12.6,-5.1,-11.92,-7.09,-7.14,3.1868080948,,11,27,24
Minnesota,Seattle,10.5,12,6.71,13,14.27,11.208163265,9,13,16.76,12.22,10,11.87,11.49,9.64,10.25,12.46,8.14,10,14.1,11.15,13.65,21.99,13,10.5,,5.5,15.64,8.92,10.95,,10.5,8,,11.07,11.5,13.5,9.3,9,,14,18.05,11.74,13.98,11.5,11.2,13.1,9,10.86,13.3,8.97,12.11,6,12,15.6,,14,10.71,13,13.8,4.7,11,9.8,9.2,8.4,15.57,14.45,12.15,2.5537151641,,11,35,9
N.Y. Giants,Atlanta,7,-0.77,6.25,1,1.25,1.8853061224,3,3,-0.35,-2.5,11,2.96,-0.74,2.1,2.97,-0.78,2.83,4,-2.56,0.84,-2.19,6.64,6,5.5,,3.5,-1.63,0.12,-0.07,,6,1,,-0.33,2.94,1.26,-1.9,3,,1,-1.26,-0.6,18.15,1.38,-4.5,0.01,6,0.96,-0.4,3.14,3.68,-3,3,2.9,,3,-3.23,1.5,0.1,5.8,4,2.3,5.1,2.2,2.03,1.73,3.81,2.7528834141,,11,34,31
New England,N.Y. Jets,10.5,7.76,4.37,9,7.45,9.0308163265,7,12,12.15,7.65,11,10.02,11.4,8.95,7.35,11.1,6.77,9,7.07,8.61,7.24,-0.02,13,10,,4.5,8.27,7.86,7.53,,10,7,,5.97,8.2,10.06,10.1,7,,9,6.48,12.49,-1.5,8.7,11.7,9.3,7,11.42,17,8.21,7.27,16,8.5,9.8,,12,9.65,9,15,8.8,11.5,9.5,4,7.9,11.64,8.97,5.79,2.4618098328,,11,31,14
Oakland,Cincinnati,-9,-17.28,-14.58,-12,-17.01,-12.97714286,-9,-11,-16.6,-20.36,-10,-10.79,-8.04,-12.17,-13.24,-16.11,-7.13,-10,-19.57,-11.77,-19.56,-18.31,-13,-9.5,,-6,-17.23,-18.15,-9.16,,-9,-17,,-12.83,-10.08,-14.53,-15.5,-7,,-16,-14.99,-16.18,-9.95,-12.5,-26.9,-15,-8,-17.94,-21,-7.6,-8.26,-5,-17.5,-15,,-12,-22.08,-16,-22.3,-7.7,-9.5,-12.2,-7.2,-9.3,-11.19,-11.46,-6.31,4.6186758564,,11,20,17
St. Louis,Arizona,-8.5,-15.07,-7.95,-14,-18.58,-11.92591837,-10,-10,-14.22,-18.31,-3,-10.14,-8.67,-14.92,-12.06,-9.96,-8.62,-11,-17.99,-8.82,-17.53,-29.74,-15,-8.5,,-4,-14.37,-16.03,-9.41,,-7,-20,,-11.93,-9.87,-11.37,-7.4,-11,,-13,-12.62,-13.92,6.48,-11.05,-19.8,-14.3,-6,-16.93,-11.1,-7.17,-8.85,-4,-17,-12.9,,-8,-18.23,-15.5,-18.6,-7.4,-10,-20.6,-4.6,-9.3,-17.47,-11.27,-8.33,4.3569608666,,11,13,21
Tampa Bay,New Orleans,-10,-18.5,-11.35,-21,-10.08,-14.24938776,-11,-10,-16.8,-23.02,-17,-13.64,-8.89,-26.79,-12.53,-16.44,-9.87,-13,-20.86,-14.37,-21.51,-22.62,-12,-10,,-10.5,-21.26,-16.38,-13.24,,-13,-21,,-17.93,-9.6,-17.08,-10.1,-9,,-17,-19.98,-16.42,-3.81,-13.17,-20.1,-16.6,-7,-18.43,-10.1,-10.22,-12.8,-4,-17,-19.9,,-15,-18.77,-15,-17,-13.1,-10,-18.6,-5.3,-10.6,-14.61,-11.03,-5.27,4.7108148659,,11,7,38
Atlanta,Tampa Bay,12,14.51,9.38,15,16.07,12.1346,9,12,16.16,18.97,6,13.5,8.02,14.15,13.33,11.14,10.63,10,14.98,11.53,15.35,15.98,12,12,17.9,11,13.82,15.4,11.57,,12,10,,11.37,10.18,13.02,6.2,11,,16,10.69,12.2,23.55,12,17.2,11.6,8,17.25,14.3,9.37,11.26,16,17,14.67,,10,12.76,16.5,17.1,7.7,11,16.4,6,11.8,11.69,11.11,6.07,3.2755832695,,12,20,17
Baltimore,Pittsburgh,1,3.99,3.57,3,8.13,3.97,1,4,3.57,6.46,4,3.24,-2.17,4.81,4.52,3.7,4.06,2,4.91,4.4,5.03,14.99,7,2,6.84,1,2.02,6.73,3.3,,1,1,,3.47,3.88,4.15,2.3,7,,6,1.64,3.36,0.44,3.88,8.4,3.4,2,7.82,4.7,1.46,2.66,6,8.5,3.42,,3,4.31,3.5,7.7,0.2,4,5.8,6,5.3,3.8,3.16,2.74,2.1735497159,,12,20,17
Buffalo,Miami,-3.5,-7.11,-7.82,-5,-9.64,-4.8128,-3,-5,-1.75,-12.17,-2,-3.09,-8.84,-2.93,-3.05,-5.42,-1.07,-3,-9.51,-2.52,-8.92,-6.11,-4,-3.5,-5.38,1,-6.63,-7.72,-3.15,,-4,-7,,-4.13,-2.69,-5.73,-8.6,-2,,-6,-5.94,-10.13,-13.91,-5,-10.1,-8.3,-3,-7.86,-12.8,-1.47,-1.1,-7,-7,-4.16,,-3,-10.5,-5,-8.3,2.2,-2,-4,0.4,-2.7,-5.82,-2.2,-2.66,3.3677801324,,12,31,14
Cincinnati,Cleveland,13,18.03,13.8,15,14.91,16.4308,11,15,21.43,21.93,17,16,19.98,21.71,17.95,17.13,12.84,13,18.11,15.78,18.5,20.85,18,13.5,19.89,11,18.02,18.08,15.97,,14,14,,15.27,13.14,18.3,11.9,12,,20,14.43,19.44,17.5,16.6,20.8,16.6,12,20.89,22.6,13.92,13.72,13,19,19.72,,14,19.31,20.5,22.1,12.4,12.5,17.9,10,14.1,20.42,18.36,15.3,3.3494762551,,12,16,7
Dallas,Oakland,13.5,11.5,11.12,11,17.61,13.0734,12,14,20.75,16.64,9,13.96,14.25,7.8,17.94,10.6,12.05,12,14.67,11.99,14.75,21.61,16,13.5,16.86,9,9.46,14.58,14.51,,14,6,,11.77,12.62,12.02,7,12,,13,6.32,14.9,8.2,13,15.2,12.5,15,18.04,11.5,12.96,11.15,19,15.5,14.2,,10,13.25,19.5,16.6,14.9,14.5,15.1,11,12.8,7.55,16.28,11.81,3.1605996654,,12,24,7
Denver,N.Y. Giants,-6.5,0.37,-2.09,1,-7.51,-0.5942,-3,-3,-3.69,4.27,-4,-0.77,2.69,0.17,-0.39,-1.92,0.35,-1,-1.37,2.2,-1.43,-6.16,-1,-5.5,1.05,2.5,2.35,-1.5,2.4,,-2.5,-3,,0.87,-1.77,1.8,-4.2,4,,-3,1.92,-5.03,-17.49,-0.6,0.7,-1.2,-2,-0.41,-7.5,2.75,1.32,-7,0.01,1.32,,-4,-5.01,3.5,-1,-0.6,-0.5,5.1,-2.5,0.8,-1.57,-1.92,-0.15,2.825338766,,12,26,6
Detroit,Green Bay,-11,-11.51,-9.09,-11,-14.37,-10.4136,-9,-8,-19.8,-15.35,-15,-11.81,-14.71,-11.87,-9.03,-10.92,-5.97,-9,-13.57,-8.13,-13.18,-13.47,-13,-11,-9.49,-7,-9.65,-13.61,-6.87,,-10,-12,,-10.73,-9.54,-8.73,-8.9,-5,,-11,-6.64,-13.12,-27.39,-10.53,-13.4,-12.3,-6,-11.4,-12.9,-7.14,-8.52,-7,-6.5,-10.53,,-5,-15.94,-13,-14,-5.1,-9.5,-18.8,-8.1,-6.4,-10.02,-12.58,-5.35,3.4589834298,,12,12,34
Houston,Indianapolis,-3,-8.65,-6.55,-10,-9.01,-4.9678,-3,-4,-1.09,-11.05,7,-5.56,-1.07,-11.56,-3.24,-3.24,-1.71,-4,-7.79,-3.81,-8,-27.2,-3,-3,-6.59,-2,-12.69,-6.7,-2.46,,-3.5,-5,,-5.43,-3.75,-8.04,-4.1,-1,,-7,-8.47,-4.39,4.98,-4.39,-7.4,-10.7,-1,-6.78,-2.6,-3.05,-4.15,-10,-6.5,-7.41,,-7,-7.22,-5,-3.9,-6,-2.5,-5,-3,-2.7,-7.95,-2.61,-4.13,3.3940213281,,12,27,35
Minnesota,Chicago,10.5,11.81,12.05,14,9.42,10.8452,8,12,10.93,11.39,14,11.97,13.02,10.72,11.7,11.74,9.32,10,10.64,10.01,10.68,12.76,14,10.5,12.74,2,13.6,10.17,9.91,,10,14,,9.27,9.54,12.98,10.9,8,,14,12.08,12.68,26.1,11,11,11.6,8,12.81,16.8,6.96,8.88,13,8,13.81,,14,11.81,11,12.7,5.3,10,13.5,7,9.6,10.78,10.16,9.38,2.5889019341,,12,36,10
N.Y. Jets,Carolina,3,6.86,2.47,5,2.61,4.2294,3,1,2.84,8.68,6,2.93,-2.98,-4,8.66,2.68,6.46,4,6.9,5.88,7.93,-6.16,5,3,9.16,4,4.24,9.69,2.5,,3,1,,6.27,3.76,5.16,-2,5,,8,2.33,1.23,16.34,5,12.5,5.3,5,9.92,-0.4,5.82,3.36,7,9.5,6.28,,-1,4.04,11.5,6,4.3,4.5,3.2,3.9,7.2,-3.35,1.88,0.92,3.6323902346,,12,17,6
New Orleans,New England,1.5,4.22,3.9,6,4.07,4.109,3,4,2.43,3.97,-2,4.56,6.7,13.46,3.24,6.78,3.34,3,4.1,6.27,4.09,21.5,3,2.5,5.26,3,7.74,0.32,4.42,,3,2,,4.27,3.11,5.47,2.6,7,,5,4.24,2.78,2.89,4,-3.1,6.7,3,3.34,5.1,3.25,4.55,4,6.5,6.54,,9,1.1,2,2.7,2.1,5.5,2,3.6,4,7.02,2.59,2.75,2.6330173969,,12,38,17
Philadelphia,Washington,9,12.13,7.79,10,11.95,9.5416,7,9,12.34,2.83,2,9.3,5.89,3.49,10.78,9.22,7.66,8,12.12,11.58,12.08,12.83,13,9,13.84,6,12.98,11.75,9.24,,9,9,,10.57,10.41,12,5.9,9,,14,9.54,9.83,11.43,9.83,11.8,12.3,9,14.96,8.9,7.16,9.43,3,12,12.24,,9,10.26,12.5,12.9,6.9,8.5,11,5.5,9.7,11.66,10.71,9.08,2.7830532052,,12,27,24
San Diego,Kansas City,13.5,13.52,9.9,14,12.43,12.5502,13,13,14.08,15.01,15,12.04,9.43,11.91,13.16,11.32,9.73,11,14,11,13.86,1.63,19,13.5,15.62,8.5,13.2,13.87,11.99,,12.5,11,,10.57,11.43,13.06,9.5,8,,15,8.9,14.99,13.94,12.5,17.5,12.5,13,14.9,18.8,9.93,9.4,14,13.5,14.46,,15,13.56,14.5,14.6,11.5,10.5,10.1,11,10.5,13.29,12.46,10.85,2.4178101831,,12,43,14
San Francisco,Jacksonville,3,2.77,1.6,2,3.82,4.7006,2,4,7.79,3.36,-5,6.81,4.68,3.51,5.67,4.32,4.79,1,5.58,4.52,6.11,1.68,6,3,3.89,2,-3.15,9.19,5.53,,4.5,-3,,4.57,3.14,2.54,4.4,6,,3,-2.26,6.71,13.6,4.46,7.3,1.6,1,9.99,8.1,4.46,3.24,-3,2.5,1.55,,37.5,4.83,8.5,10.9,6,4.5,8.6,4.4,6.5,2.63,4.72,1.65,5.588511689,,12,20,3
St. Louis,Seattle,-4,-5.58,0.65,-6,-3.25,-2.6212,-3,-1,4.34,-7.69,6,-1.68,-5.57,-4.8,-5.07,-1.1,-4.36,-4,-4.73,-0.88,-5.13,12.35,-4,-4,-5.5,-1.5,-3.75,-7.29,-0.35,,-1.5,-5,,-2.23,-1.63,-3.66,0.7,-6,,-4,-0.93,-1.46,-7.84,-3.75,-8,-4.5,-2,-6.78,3.5,-3.98,-0.89,7,0.5,-3.6,,3,-4.35,-7.5,-2.3,-4.5,-4,-1.5,-1.1,-3.3,-7.41,4.78,5.23,3.4841147618,,12,17,27
Tennessee,Arizona,2,-4.43,0.57,-4,-0.46,-1.3776,-1,-1,2.41,-6.91,5,-2.88,-4.2,-1.78,-5.39,1.63,-2.86,1,-3.78,0.55,-3.72,-7.89,0.01,1.5,-5.66,-2,-3.3,-5.76,-1.38,,-1,-3,,-2.13,1.29,-2.68,1.3,-5,,-3,-1.44,-1.81,2.86,-2.13,-3.3,0.01,2,-4.83,2.9,-4.82,0.08,6,-5,-3.65,,3,-2.73,-7.5,0.1,-3.3,1,-0.6,4,-2.6,1.07,3.89,5.37,3.1541896725,,12,20,17
Arizona,Minnesota,-3.5,-2.63,-3.75,-5,-2.77,-2.185306122,-1,-2,-1.76,0.35,-9,-6.59,-3.34,-1.11,-1.39,-1.56,-0.13,-4,-6.18,-0.44,-5.98,-8.98,-1,-3.5,0.94,0.5,-2.07,-3.21,0.55,,-3.5,-9,,-2.44,-1.2,-3.93,-2,-2,,-3,-5.17,-2.9,-15.58,-2.04,-2.6,0.01,-1,-4.13,-3,0.72,-0.9,4,1.5,-3.75,,-2,-6.53,-0.5,-3.1,0.01,-3,-2.2,-3.5,,0.19,-1.43,-1.09,2.2832881097,,13,30,17
Atlanta,Philadelphia,-5.5,1.74,1.98,1,1.45,0.3589795918,-2,1,0.72,10.67,-3,-0.52,-7.06,5.55,0.61,0.78,1.45,-1,-0.65,2.49,-0.19,-1.58,-2,-4,3.06,0.01,1.49,1.98,1.45,,-5.5,-1,,0.06,-0.13,0.88,0.6,-3,,-3,0.08,-0.26,-18.37,0.76,1.4,1.6,-1,1.43,0.8,1.1,0.6,1,2,0.74,,-3,-1.44,1,1.4,-3.7,0.5,-0.9,-7.7,,0.72,1.72,2.72,2.7667800516,,13,7,34
Buffalo,N.Y. Jets,-3,-6.34,-5.94,-3,-8.64,-3.934489796,-7,-2,-0.23,-8.31,6,-3.6,2.54,-0.61,-7.16,-1.83,-4.16,-3,-7.84,-3.27,-8.32,-11.84,-5,-3,-3.74,-0.5,-3.56,-9.4,-4.96,,-3,-4,,-5.1,-3.75,-2.23,-1.1,-3,,-4,-0.54,-5.58,-16.51,-4,-11.2,-0.4,-6,-9.6,-3.9,-4.57,-4.23,-10,-6,-5.31,,-2,-6.57,-7,-6.1,-3,-3,-7.3,-3.5,,-0.14,-0.28,-0.32,3.192497756,,13,13,19
Carolina,Tampa Bay,5.5,7.85,5.06,8,6.22,7.3630612245,7,8,8.35,12.43,10,7.76,5.67,12.56,7.02,5.79,6.08,5,6.94,6.64,6.68,-0.8,9,5.5,9.93,6,9.18,6.64,7.73,,6.5,4,,6.16,5.57,8.54,3.2,8,,9,8.15,7.98,9.73,7.42,6.4,9.4,7,8.58,7.8,6.19,8.1,8,6,9.51,,8,6.38,9.5,10.1,5.5,7.5,5.7,1.7,,10.98,7.85,7.34,2.067513809,,13,16,6
Chicago,St. Louis,8.5,10.96,9.9,12,17.93,9.7651020408,8,10,11.77,17.66,2,9.59,5.76,13.24,10.46,8.04,9.91,8,11.46,8.96,11.6,22.18,10,8.5,13.02,8.5,10.27,11.62,9.51,,8.5,7,,8.66,10.37,11.93,4.7,11,,11,10.14,6.76,15.04,10.14,11.9,12.3,9,12.81,6.5,9.49,10.34,13,12,10.95,,7,6.96,6.5,12.4,8.2,11.5,7.3,5.4,,18.07,8.84,5.91,3.1761311125,,13,17,9
Cincinnati,Detroit,13,18.44,11.55,17,12.63,16.448367347,12,16,22.17,23.96,15,15.93,19.43,25.02,15.89,19.25,11.7,12,15.48,17.23,15.52,14.26,19,14,19.54,10,19.4,17.58,15.66,,14,15,,15.96,15.28,17.77,13.3,12,,18,13.39,20.18,16.47,16.24,23.5,18.1,11,17.69,21.7,11.71,15.34,21,15.5,18.93,,16,17.43,21,20.2,11.8,15,15.4,10,,18.28,17.96,13.76,3.6750925991,,13,23,13
Cleveland,San Diego,-14,-14.44,-9.53,-15,-16.17,-13.21673469,-13,-14,-16.05,-9.74,-10,-15.7,-14.12,-13.43,-13.37,-12.88,-8.77,-13,-16.77,-9.3,-16.66,-19.58,-19,-14,-13.16,-8,-13.89,-15.03,-10.85,,-11,-23,,-11.34,-10.12,-13.29,-13.6,-7,,-13,-12.33,-19.29,-23.86,-13.52,-16,-13.8,-8,-14.94,-20.9,-9.15,-8.97,-19,-13,-15.07,,-14,-20.23,-14.5,-15,-12,-11.5,-11.5,-10,,-18.72,-11.77,-7.5,3.607112989,,13,23,30
Green Bay,Baltimore,3.5,-1.09,-0.15,0.25,0.95,0.8557142857,0,1,3.66,1.26,14,3.6,1.67,2.96,3.1,-1.34,2.92,3,-0.87,-0.73,-1.18,0.89,-4,3,-0.66,1,-1.6,-0.78,0.31,,2.5,2,,-1.04,0.3,0.36,0.3,4,,1,-2.21,-1.32,4.34,0.66,-7.2,-1.1,1,-0.64,1.9,3.48,0.18,10,-3.5,3.07,,-1,-2.19,3,1.1,-2.5,3.5,4.1,2.3,,-0.19,2.48,1.31,2.9974774116,,13,27,14
Indianapolis,Tennessee,6.5,14.49,7.17,18,11.09,11.298979592,11,10,4.92,19.63,10,12.1,4.22,17.69,14.54,8.43,11.31,9,12.32,10.87,12.56,8.67,12,7.5,16.74,8,16.38,14.95,9.57,,8.5,5,,10.56,9,15.05,4.7,14,,15,10.29,9.86,-2.34,11,15.6,15.3,8,16.93,9.5,13.4,9.16,11,11,16.41,,8,10.27,13,12.4,12.9,10.5,15.4,3.7,,10.37,6.29,7.65,3.9384706449,,13,27,17
Jacksonville,Houston,0,-1.69,0.75,-1,-3.95,-2.877755102,-2,-3,-5.83,-0.35,-3,-3.7,-5.04,-0.35,-1.99,-5.33,-0.32,1,-5.28,-0.97,-5.81,-8.35,-7,0,-2.22,1,1.81,-5.97,-1.18,,1.5,-6,,-3.04,-1.17,-0.05,-6.1,-4,,-1,1.32,-9.34,-5.87,-2.1,-8.2,-1.1,1,-5.4,-10.5,-0.91,-0.48,-6,-2.5,0.94,,-1,-9,-1,-7.4,-4.7,-1.5,-10.8,-1.6,,0.95,-3.67,-1.51,3.1836386843,,13,23,18
Kansas City,Denver,-5,-7.73,-7.53,-7,-6.96,-5.120612245,-8,-1,1.2,-6.29,-4,-4.95,-1.83,-8.52,-4.41,-1.86,-1.38,-5,-9.36,-3.81,-9.44,-14.04,-2,-5,-6.77,-7,-7.94,-7.7,-0.51,,-4,-2,,-6.54,-3.85,-5.62,-0.2,-5,,-7,-6.13,-2.54,-18.06,-5.4,-11.5,-2,-5,-7.76,-0.7,-3.74,-5.18,6,-7,-7.47,,-8,-7.08,-10.5,-5.8,-7.6,-2.5,-16.7,-8.5,,-1.61,-0.04,-1.29,3.4560215616,,13,13,44
Miami,New England,-4.5,-4.88,0.86,-6,-6.19,-5.07755102,-4,-5,-8.39,0.56,-6,-6.36,-8.81,-1.9,-4.83,-5.51,-2.93,-3,-7.12,-3.36,-7.34,16.13,-9,-4.5,-5.33,-2,-2.86,-7.46,-1.45,,-6.5,-14,,-5.94,-5.99,-4.36,-5.4,-8,,-4,-2.52,-8.23,-4.07,-5,-11.4,-2.4,-3,-7.55,-7.1,-3.56,-3.81,-3,-1,-4.7,,-6,-9.49,-5,-6.5,-7.7,-3,-10.8,-1.1,,-0.79,-4.34,-0.3,3.1394370054,,13,22,21
N.Y. Giants,Dallas,-2.5,0.57,5.38,-1,5.88,-0.449591837,-2,-1,-4.61,4.02,2,-3.1,1.01,3.32,-1.76,-2.05,-0.42,-2,-2.35,-0.3,-1.92,7.39,1,-2,1.41,1,0.51,0.62,-0.99,,0,-7,,-1.84,0.31,0.42,-7.2,2,,-3,-0.04,-5.31,-12.36,0.1,0.1,0.01,3,0.62,-7.6,-0.07,0.43,6,4,0.5,,-2,-4.53,0.5,-1,0.1,-1,-4.3,1.1,,0.1,-2.16,0.3,2.9251723305,,13,31,24
Pittsburgh,Oakland,14.5,11.79,10.18,11,16.2,13.670612245,17,14,17.02,22.3,19,12.75,13.51,19.25,16.81,13.81,11.98,12,15.31,13.14,15.66,20.4,17,14.5,16.52,10,8.68,16.16,13.36,,14.5,6,,13.16,13.65,11.58,10.8,13,,12,6.22,15.12,30.04,13.68,16.9,13.7,16,17.25,16.6,12.59,12.35,18,18,13.61,,10,14.43,14.5,17.1,14,15,4.8,15.1,,6.15,13.04,9.07,3.4606534837,,13,24,27
Seattle,San Francisco,0,-3.1,2.87,-1,2.8,-1.328367347,-1,1,-7.64,1.2,7,-3.54,-4.67,3.68,-0.12,-1.5,1.04,1,-7.72,-1.58,-7.12,-3.59,-1,0,1.24,0.5,-2.4,-3.99,1.82,,-1,-3,,-4.14,-0.83,-0.64,-0.2,-6,,-2,-5.9,-2.83,-14.36,-1.14,-4.9,-1,3,-2.53,-0.8,0.23,-3.7,6,1,-0.56,,-3,-6.67,-5.5,-6.3,1.2,0.01,-5,-2.2,,-3.9,-4.46,-1.28,2.9321915488,,13,20,17
Washington,New Orleans,-9.5,-16.64,-8.81,-17,-13.95,-12.27122449,-7,-10,-10.87,-16.04,-1,-13.28,-10.76,-18.23,-9,-16.65,-5.83,-9,-18.76,-11.92,-19.23,-22.04,-13,-9.5,-16.46,-5,-20.21,-14.03,-10.86,,-7.5,-21,,-14.94,-9.51,-15.47,-11.8,-5,,-16,-14.5,-15.77,-9.74,-13,-18.3,-16.5,-7,-17.24,-16.3,-7.86,-11.45,-2,-12.5,-15.87,,-14,-18.43,-13,-16.3,-9.2,-8.5,-11.5,-3,,-13.6,-9.63,-8.38,4.5427720211,,13,30,33
Atlanta,New Orleans,-10,-8.32,-6.27,-13,-6.01,-8.702083333,-9,-9,-7.59,-12.59,-5,-10.39,-9.62,-9.75,-5.22,-14.37,-4.08,-10,-12,-8.04,-12,-14.04,-12,-10,-8.73,-1.5,-10.37,-6.78,-6.52,,-10,-14,,-8.8,-6.03,-9.2,-10.7,-1,,-10,-7.44,-13.64,-10.87,-9.31,-10.5,-12.4,-4,-9.06,-18.4,,-7.42,-17,-6,-9.42,,-12,-12.48,-6.5,,-8.7,-7.5,-11.5,-10,,-6.56,-5.11,-2.63,3.4814468491,,14,23,26
Baltimore,Detroit,13.5,17.45,12.49,17,20.62,16.560833333,14,17,23.91,18.46,11,15.99,11.8,21.19,14.94,17.22,11.49,14,17.11,16.31,17.02,19.89,23,14,19.67,10.5,16.16,19.48,17.04,,13.5,11,,18.3,17,16.87,12.8,14,,18,11.5,19.58,7.02,17,23.2,17.5,14,20.4,18.9,,17.35,14,20,15.78,,15,18.5,19,,14.2,16,16,10,,17.44,18.43,12.95,3.3689924205,,14,48,3
Chicago,Green Bay,-4,-4.13,-4.12,-5,-2.33,-4.329791667,-2,-2,-6.95,-7.47,-10,-6.87,-9.35,-5.51,-4.97,-5.77,-2.41,-5,-8.83,-1.62,-8.61,0.55,-6,-4,-3.86,1.5,-2.27,-6.56,-1.81,,-3,-10,,-3.1,-2.58,-3.88,-4.5,-1,,-4,-3.76,-7.23,-7.9,-4.1,-8.1,-2.5,-2,-5.48,-10.4,,-1.34,1,-0.5,-4.97,,-4,-9.4,-5,,1.1,-1,-8.5,-2,,-1.64,-4.09,-1.22,2.9610510566,,14,14,21
Cleveland,Pittsburgh,-10,-8.69,-8.89,-10,-12.67,-9.109166667,-13,-7,-10.36,-8.51,-21,-7.66,-13.41,-10.42,-9.75,-7.98,-5.81,-11,-11.78,-6.92,-12.17,-10.52,-6,-10,-8.57,-9,-7.48,-9.93,-7.77,,-9,-6,,-11.1,-8.15,-7.76,-2.8,-8,,-7,-7.91,-9.85,-16.68,-8.79,-11.1,-9,-9,-9.69,-5,,-8.19,-7,-9,-9.49,,-8,-10.73,-9,,-10.7,-8,-9.1,-12.4,,-10.57,-7.72,-5.07,2.7442371597,,14,13,6
Dallas,San Diego,4,-0.45,3.72,-0.25,3.48,0.6772916667,4,-1,3.12,-1.94,1,0.34,3.79,-0.87,1.89,-2.95,2.6,1,-1.66,1.78,-1.32,-2.15,-3,3.5,1.08,1.5,-0.76,-0.13,0.6,,3,-3,,1.9,1.91,-0.62,-3.1,7,,-1,-1.54,-2.92,17.49,0.8,-1.3,0.3,4,1.4,-6.9,,2.91,13,-0.5,0.52,,4,-2.77,0.5,,2.9,2.5,-1,3.6,,-1.59,2.45,1.77,2.5757764701,,14,17,20
Houston,Seattle,7,6.43,4.72,5,10.36,6.8220833333,5,7,12.76,8.93,10,3.62,7.45,5.35,5.28,5.77,4.47,4,8.02,7.02,7.83,8.5,11,7,7.69,3.5,6.99,5.88,8.18,,6,1,,8.3,7.5,6.08,2.4,6,,7,6.82,7.25,17.06,7,12.2,10.1,6,6.75,6,,10.05,8,8,5.74,,4,7.67,7,,6.4,6.5,9.8,5.5,,5.54,9.35,5.93,2.4204377645,,14,34,7
Indianapolis,Denver,6.5,9.3,-0.04,11,7.55,8.605,5,10,13.75,10.18,7,8.25,6.42,8.43,7.63,10.21,6.62,9,7.59,9.45,7.73,-5.01,11,7,10.93,2,12.92,7.9,11.41,,8.5,3,,8.3,9.45,8.91,10.1,7,,10,7.3,11.04,-4.65,9.2,9.8,16.1,6,9.09,11.4,,9.45,10,8,10.24,,1,11.04,8,,6.4,11.5,-0.7,3.2,,14.31,12.75,11.75,3.5598051584,,14,28,16
Jacksonville,Miami,2,-0.38,-0.09,0.25,-3.02,0.0189583333,2,0.01,-0.77,1.12,2,-0.32,3.47,3.06,0.84,-1.94,1.39,3,-3.95,1.23,-4.4,7.05,-1,2,-1.47,2,2.23,-3.59,-0.73,,2.5,-1,,-0.5,0.92,-0.19,-0.5,4,,2,0.16,-5.23,17.56,0.48,-4.9,0.7,1,-4.07,-3.6,,3.72,10,-3,2.53,,3,-3.22,-1.5,,1.9,2,-5.7,3.7,,0.49,0.1,0.97,2.4828794536,,14,10,14
Kansas City,Buffalo,-2,0.53,-1.73,-0.25,-5.36,-1.334583333,-3,-2,0.48,-4.13,-3,-1.72,5.88,0.16,-0.2,-2.63,0.62,1,-4.32,-0.08,-3.63,-9.72,-5,-2,-1.13,-3,1.04,-0.23,1.34,,1.5,-6,,-1.3,-1.68,1.36,-2.4,1,,1,-0.51,-3.97,-12.8,-1.06,-4.5,0.7,-1,-0.82,-8.1,,0.09,6,-3,0.49,,-1,-4.64,2,,-3,-3,-3.5,-3.4,,0.43,1.36,2.23,2.5577308413,,14,10,16
Minnesota,Cincinnati,6,4.83,1.72,5,7.44,6.2185416667,5,8,9.42,8.4,5,9.63,13.02,4.52,4.74,5.01,4.26,6,5.76,5.13,5.39,6.06,8,6,7.21,2,3.87,5.9,4.85,,7,4,,6,6.08,4.5,6.6,7,,5,2.15,6.71,8.17,5.95,3.2,6.3,6,7.75,11.1,,8,3,5.5,5.71,,10,6.97,6,,5.5,9.5,11,3.2,,5.06,5.76,2.1,2.3974605267,,14,30,10
